id,lang,title,standard_timestamp,event_timestamp_v1,event_timestamp_v2,pseudo_time,pseudo_granularity,pseudo_source_text,is_evaluable_v1,is_evaluable_v2,is_exact_v1,is_exact_v2,is_relaxed_v1,is_relaxed_v2,exact_compare,relaxed_compare
gdelt_00275553,en,Nick Reiner high - profile lawyer quits as public defenders take over ; arraignment postponed,2026-01-08 05:30:00,2026-01-08 05:30:00,2026-01-08 05:30:00,,,,0,0,0,0,0,0,na,na
gdelt_003683cb,en,Iran war live : Tehran warns of intensified strikes if energy sites targeted | US - Israel war on Iran News,2026-03-20 11:30:00,2026-03-20 11:30:00,2026-03-20 11:30:00,,,,0,0,0,0,0,0,na,na
gdelt_0088fe6c,es,ONG reporta 12 muertos por bombardeo sobre clínica en Sudán – DW – 01 / 09 / 2025,2025-09-01 08:00:00,2025-09-01 08:00:00,2025-09-01 00:00:00,2025-01-01 00:00:00,year,01 / 09 / 2025,1,1,1,1,1,1,tie,tie
gdelt_00a04ea4,en,Why did US let Dodik off the hook and hand Europe ailing heart to Russia ? | Opinions,2025-11-15 01:15:00,2025-11-15 01:15:00,2025-11-15 01:15:00,,,,0,0,0,0,0,0,na,na
gdelt_00bd44e0,en,Woman dies after crashing into garden fence in Dunfermline,2026-01-22 22:00:00,2026-01-22 22:00:00,2026-01-22 22:00:00,,,,0,0,0,0,0,0,na,na
gdelt_00cbe5c2,en,"We survived the war , we may not survive the ceasefire",2025-10-25 20:00:00,2025-10-25 20:00:00,2025-10-22 00:00:00,2025-05-01 00:00:00,month,we may,1,1,0,0,0,0,tie,tie
gdelt_012b7a61,en,"Merthyr woman cleared £40 , 000 of gambling debt reselling clothes",2026-03-28 07:30:00,2026-03-28 07:30:00,2026-03-28 07:30:00,,,,0,0,0,0,0,0,na,na
gdelt_0145dec1,en,US envoy Witkoff says Ukraine talks with Russia  productive  | Russia - Ukraine war News,2026-02-01 03:00:00,2026-02-01 03:00:00,2026-02-01 03:00:00,,,,0,0,0,0,0,0,na,na
gdelt_01522981,af,Pakistan says soldiers kill 33 fighters near Afghan border,2025-08-09 05:00:00,2025-08-09 05:00:00,2025-08-09 05:00:00,,,,0,0,0,0,0,0,na,na
gdelt_0179d4ff,ar,احتجاجات في البصرة بعد تلوث مياه الشرب بالمياه المالحة,2025-10-14 05:00:00,2025-10-14 05:00:00,2025-10-14 05:00:00,,,,0,0,0,0,0,0,na,na
gdelt_021108bd,en,Almost 900 arrested at London protest backing banned Palestine Action,2025-09-08 10:45:00,2025-09-08 10:45:00,2025-09-08 10:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0288d2ca,fr,L  étrange façon dont la nourriture perturbe les médicaments que nous prenons,2025-08-26 02:00:00,2025-08-26 02:00:00,2025-08-26 02:00:00,,,,0,0,0,0,0,0,na,na
gdelt_02a6a68c,ru,НАТО : Украина все лучше бьет по целям глубоко в России – DW – 28 . 09 . 2025,2025-09-28 20:30:00,2025-09-28 20:30:00,2025-09-28 20:30:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_02b16272,en,Tour de France winner Tadej Pogacar to skip Vuelta a Espana :  The body is telling me to rest  ,2025-07-30 05:00:00,2025-07-30 05:00:00,2025-07-30 05:00:00,,,,0,0,0,0,0,0,na,na
gdelt_02e8da73,en,Airspace restrictions ahead of President Macron Windsor visit,2025-07-03 16:30:00,2025-07-03 16:30:00,2025-07-03 16:30:00,,,,0,0,0,0,0,0,na,na
gdelt_039bc70d,en,"Trump - Xi meeting live : China , US presidents begin talks on trade , tariffs | Donald Trump News",2025-10-30 12:00:00,2025-10-30 12:00:00,2025-10-30 12:00:00,,,,0,0,0,0,0,0,na,na
gdelt_03b9e989,en,Brooks Koepka to make PGA Tour return under new scheme in January,2026-01-13 06:00:00,2026-01-13 00:00:00,2026-01-01 00:00:00,2026-01-01 00:00:00,month,in January,1,1,1,1,1,1,tie,tie
gdelt_03c72710,en,"Tom Stoppard , celebrated British playwright , dies aged 88",2025-11-30 03:45:00,2025-11-30 03:45:00,2025-11-30 03:45:00,,,,0,0,0,0,0,0,na,na
gdelt_041a37a8,en,Ex - Credit Suisse VP made unauthorised transactions over 7 years ; bank paid S$14 million in compensation,2026-01-08 19:45:00,2019-01-08 19:45:00,2026-01-08 19:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0469cc86,en,Brown Dillon Gabriel doesnt care what you think . His focus is on proving himself right,2025-10-24 19:45:00,2025-10-24 19:45:00,2025-10-24 19:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0534e315,zh-cn,洱海边有个小卖部｜  十元  理发店的坚守与创新 - 新华网,2025-07-21 16:15:00,2025-07-21 16:15:00,2025-07-21 16:15:00,,,,0,0,0,0,0,0,na,na
gdelt_0545ec6d,fa,معمای کروموزوم‌ها در خون یک زن ؛ خواهری که کروموزم‌های برادرش را دارد,2025-09-07 19:15:00,2025-09-07 19:15:00,2025-09-07 19:15:00,,,,0,0,0,0,0,0,na,na
gdelt_054b2546,ko,杭州工行携14家科创企业赴总行共话金融赋能 ， 共筑创新发展新生态 - 新华网,2025-12-01 19:15:00,2025-12-01 19:15:00,2025-12-01 19:15:00,,,,0,0,0,0,0,0,na,na
gdelt_056c5e0f,zh-cn,贵州省黔南州原州委副书记 、 州长向承强被开除党籍和公职 - 新华网,2026-02-04 01:30:00,2026-02-04 01:30:00,2026-02-04 01:30:00,,,,0,0,0,0,0,0,na,na
gdelt_05ac67f0,en,Serie A referee chief hits out at  cheat after  clearly wrong  Juventus red card against Inter,2026-02-16 00:45:00,2026-02-16 00:45:00,2026-02-16 00:45:00,,,,0,0,0,0,0,0,na,na
gdelt_05d592f4,ur,ثنا یوسف : اسلام آباد میں 17 برس کی ٹک ٹاکر کے قتل کے بارے میں ہم اب تک کیا جانتے ہیں ؟ ,2025-06-03 15:45:00,2025-06-03 15:45:00,2025-06-03 15:45:00,,,,0,0,0,0,0,0,na,na
gdelt_06f27887,sw,Makabiliano makali ya Jeshi na RSF yaripotiwa Sudan – DW – 13 . 07 . 2025,2025-07-13 19:00:00,2025-07-13 00:00:00,2025-07-13 19:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_07163c46,zh-cn,兰州交通为高质量发展构筑强力支撑 - 新华网,2025-12-28 12:00:00,2025-12-28 12:00:00,2025-12-28 12:00:00,,,,0,0,0,0,0,0,na,na
gdelt_071a0d7d,fr,"Le chef de Brand Finance salue la montée  passionnante  des marques chinoises , qui renforce le soft power ( INTERVIEW ) - Xinhua",2026-01-21 11:15:00,2026-01-21 11:15:00,2026-01-21 11:15:00,,,,0,0,0,0,0,0,na,na
