lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1
af,3,0,0,,,,,,
ar,10,2,2,1.0,1.0,0.0,1.0,1.0,0.0
bg,9,7,7,1.0,1.0,0.0,1.0,1.0,0.0
bn,2,0,0,,,,,,
ca,5,1,1,1.0,1.0,0.0,1.0,1.0,0.0
cy,2,0,0,,,,,,
da,5,0,0,,,,,,
de,19,11,11,0.8182,0.6364,-0.1818,0.8182,0.6364,-0.1818
el,5,3,3,0.6667,1.0,0.3333,0.6667,1.0,0.3333
en,574,67,67,0.8657,0.9403,0.0746,0.8657,0.9403,0.0746
es,68,22,22,0.8182,0.9545,0.1363,0.8182,0.9545,0.1363
et,2,0,0,,,,,,
fa,19,0,0,,,,,,
fi,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
fr,49,4,4,0.5,0.5,0.0,0.5,0.5,0.0
hi,5,5,5,1.0,1.0,0.0,1.0,1.0,0.0
hr,14,12,12,0.9167,0.9167,0.0,0.9167,0.9167,0.0
hu,1,0,0,,,,,,
id,10,3,3,1.0,1.0,0.0,1.0,1.0,0.0
it,4,1,1,0.0,1.0,1.0,0.0,1.0,1.0
ja,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0
ko,63,1,1,1.0,1.0,0.0,1.0,1.0,0.0
lt,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
mk,8,2,2,1.0,1.0,0.0,1.0,1.0,0.0
mr,1,0,0,,,,,,
ne,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
nl,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0
no,3,2,2,1.0,1.0,0.0,1.0,1.0,0.0
pl,11,10,10,1.0,1.0,0.0,1.0,1.0,0.0
pt,19,6,6,1.0,1.0,0.0,1.0,1.0,0.0
ro,6,4,4,0.75,0.75,0.0,0.75,0.75,0.0
ru,32,25,25,0.96,0.96,0.0,0.96,0.96,0.0
sl,4,3,3,1.0,1.0,0.0,1.0,1.0,0.0
so,6,1,1,1.0,1.0,0.0,1.0,1.0,0.0
sq,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0
sv,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
sw,28,17,17,1.0,0.8824,-0.1176,1.0,0.8824,-0.1176
ta,1,0,0,,,,,,
te,1,0,0,,,,,,
tl,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
tr,22,12,12,1.0,1.0,0.0,1.0,1.0,0.0
uk,30,21,21,1.0,1.0,0.0,1.0,1.0,0.0
unknown,1,0,0,,,,,,
ur,16,0,0,,,,,,
vi,7,0,0,,,,,,
zh-cn,112,17,17,0.8235,0.9412,0.1177,0.8235,0.9412,0.1177
zh-tw,3,0,0,,,,,,
