id,lang,title,standard_timestamp,event_timestamp_v1,event_timestamp_v2,pseudo_time,pseudo_granularity,pseudo_source_text,is_evaluable_v1,is_evaluable_v2,is_exact_v1,is_exact_v2,is_relaxed_v1,is_relaxed_v2,exact_compare,relaxed_compare
gdelt_00275553,en,Nick Reiner high - profile lawyer quits as public defenders take over ; arraignment postponed,2026-01-08 05:30:00,2026-01-08 05:30:00,2026-01-08 05:30:00,,,,0,0,0,0,0,0,na,na
gdelt_003683cb,en,Iran war live : Tehran warns of intensified strikes if energy sites targeted | US - Israel war on Iran News,2026-03-20 11:30:00,2026-03-20 11:30:00,2026-03-20 11:30:00,,,,0,0,0,0,0,0,na,na
gdelt_0088fe6c,es,ONG reporta 12 muertos por bombardeo sobre clínica en Sudán – DW – 01 / 09 / 2025,2025-09-01 08:00:00,2025-09-01 08:00:00,2025-09-01 00:00:00,2025-01-01 00:00:00,year,01 / 09 / 2025,1,1,1,1,1,1,tie,tie
gdelt_00a04ea4,en,Why did US let Dodik off the hook and hand Europe ailing heart to Russia ? | Opinions,2025-11-15 01:15:00,2025-11-15 01:15:00,2025-11-15 01:15:00,,,,0,0,0,0,0,0,na,na
gdelt_00bd44e0,en,Woman dies after crashing into garden fence in Dunfermline,2026-01-22 22:00:00,2026-01-22 22:00:00,2026-01-22 22:00:00,,,,0,0,0,0,0,0,na,na
gdelt_00cbe5c2,en,"We survived the war , we may not survive the ceasefire",2025-10-25 20:00:00,2025-10-25 20:00:00,2025-10-22 00:00:00,2025-05-01 00:00:00,month,we may,1,1,0,0,0,0,tie,tie
gdelt_00e11f8d,hi,130 साल बाद मिलेगा फ्रांसीसी सेना के कैप्टन को प्रमोशन – DW – 03 . 06 . 2025,2025-06-03 15:45:00,2025-06-03 15:45:00,2025-06-03 15:45:00,2025-01-01 00:00:00,year,03 . 06 . 2025,1,1,1,1,1,1,tie,tie
gdelt_012b7a61,en,"Merthyr woman cleared £40 , 000 of gambling debt reselling clothes",2026-03-28 07:30:00,2026-03-28 07:30:00,2026-03-28 07:30:00,,,,0,0,0,0,0,0,na,na
gdelt_012be84a,sq,Izraeli synon të zgjerojë operacionin ushtarak në Liban,2026-03-23 16:15:00,2026-03-23 16:15:00,2026-07-01 00:00:00,,,,0,0,0,0,0,0,na,na
gdelt_0145dec1,en,US envoy Witkoff says Ukraine talks with Russia  productive  | Russia - Ukraine war News,2026-02-01 03:00:00,2026-02-01 03:00:00,2026-02-01 03:00:00,,,,0,0,0,0,0,0,na,na
gdelt_01522981,af,Pakistan says soldiers kill 33 fighters near Afghan border,2025-08-09 05:00:00,2025-08-09 05:00:00,2025-08-09 05:00:00,,,,0,0,0,0,0,0,na,na
gdelt_021108bd,en,Almost 900 arrested at London protest backing banned Palestine Action,2025-09-08 10:45:00,2025-09-08 10:45:00,2025-09-08 10:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0288d2ca,fr,L  étrange façon dont la nourriture perturbe les médicaments que nous prenons,2025-08-26 02:00:00,2025-08-26 02:00:00,2025-08-26 02:00:00,,,,0,0,0,0,0,0,na,na
gdelt_02a6a68c,ru,НАТО : Украина все лучше бьет по целям глубоко в России – DW – 28 . 09 . 2025,2025-09-28 20:30:00,2025-09-28 20:30:00,2025-09-28 20:30:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_02b8f2a7,en,Do not inhale ! How wildfire smoke  affects the whole body  ,2026-02-23 15:45:00,2026-02-23 15:45:00,2026-02-23 15:45:00,,,,0,0,0,0,0,0,na,na
gdelt_02f21455,en,LIVE : Israel pounds Gaza ; Trump says  very good chance  of truce deal | Israel - Palestine conflict News,2025-07-10 13:30:00,2025-07-10 13:30:00,2025-07-10 13:30:00,,,,0,0,0,0,0,0,na,na
gdelt_0379421a,en,2025 united kingdom Championship : World champion Zhao makes fine start to campaign,2025-12-02 02:45:00,2025-12-02 00:00:00,2025-12-02 02:45:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_039fbbc3,en,LIVE : Israel shoots Gaza aid seekers as another baby starves to death | Israel - Palestine conflict News,2025-07-28 17:30:00,2025-07-28 17:30:00,2025-07-28 17:30:00,,,,0,0,0,0,0,0,na,na
gdelt_03c8ce2c,en,Addicted : The global drug war like youve never seen it,2025-07-24 11:45:00,2025-07-24 11:45:00,2025-07-24 11:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0403142d,en,"Man gets 20 month jail for fraudulently obtaining more than S$27 , 000 in Marina Square e - vouchers",2026-01-02 19:00:00,2024-05-02 19:00:00,2024-05-02 19:00:00,,,,0,0,0,0,0,0,na,na
gdelt_0469cca8,en,"Mediacorp apologises , takes down Pritam Singh interview for contempt of court",2025-12-13 10:30:00,2025-12-13 10:30:00,2025-12-13 10:30:00,,,,0,0,0,0,0,0,na,na
gdelt_04f49a57,ko,浙江省外贸掘金新市场新赛道 - 新华网,2025-08-14 12:45:00,2025-08-14 12:45:00,2025-08-14 12:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0524846d,zh-cn,共育团结花开 幸福春城谱写新篇章 _ 新华网,2026-01-05 13:00:00,2026-01-05 13:00:00,2026-01-05 13:00:00,,,,0,0,0,0,0,0,na,na
gdelt_055edae5,zh-cn,  停息挂账  假冒网站  冒牌催收 …… 这些贷款虚假营销如何识别 ？- 新华网,2026-03-16 19:45:00,2026-03-16 19:45:00,2026-03-16 19:45:00,,,,0,0,0,0,0,0,na,na
gdelt_056e77c2,pt,Sylvia Bloom : a secretária que juntou milhões de dólares e deixou para caridade,2025-09-29 03:30:00,2025-09-29 03:30:00,2025-09-29 03:30:00,,,,0,0,0,0,0,0,na,na
gdelt_05b139f6,en,"Chicago mass shooting leaves four dead , 14 injured outside downtown lounge | Crime News",2025-07-04 07:45:00,2025-07-04 07:45:00,2025-07-04 07:45:00,,,,0,0,0,0,0,0,na,na
gdelt_0602929d,tr,Almanyada DİTİBden antisemitizme karşı  duruş  talebi – DW – 08 . 09 . 2025,2025-09-08 23:00:00,2025-09-08 23:00:00,2025-09-08 23:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_06f27887,sw,Makabiliano makali ya Jeshi na RSF yaripotiwa Sudan – DW – 13 . 07 . 2025,2025-07-13 19:00:00,2025-07-13 00:00:00,2025-07-13 19:00:00,2025-01-01 00:00:00,year,2025,1,1,1,1,1,1,tie,tie
gdelt_07145425,zh-cn,委内瑞拉民众学者谴责美国对伊朗动武 - 新华网,2026-03-11 17:15:00,2026-03-11 17:15:00,2026-03-11 17:15:00,,,,0,0,0,0,0,0,na,na
