lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1
af,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0
ar,10,1,1,1.0,1.0,0.0,1.0,1.0,0.0
bg,9,6,6,0.8333,0.8333,0.0,0.8333,0.8333,0.0
bn,2,0,0,,,,,,
ca,5,0,0,,,,,,
cy,2,0,0,,,,,,
da,5,0,0,,,,,,
de,19,13,13,0.8462,0.7692,-0.077,0.8462,0.7692,-0.077
el,5,3,3,1.0,1.0,0.0,1.0,1.0,0.0
en,572,49,49,0.8163,0.8571,0.0408,0.8163,0.8571,0.0408
es,68,21,21,0.8571,0.9048,0.0477,0.8571,0.9048,0.0477
et,2,0,0,,,,,,
fa,19,0,0,,,,,,
fi,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
fr,49,5,5,0.4,0.6,0.2,0.4,0.6,0.2
hi,5,4,4,1.0,1.0,0.0,1.0,1.0,0.0
hr,14,10,10,0.9,0.9,0.0,0.9,0.9,0.0
hu,1,0,0,,,,,,
id,10,6,6,1.0,1.0,0.0,1.0,1.0,0.0
it,4,0,0,,,,,,
ja,3,1,1,0.0,1.0,1.0,0.0,1.0,1.0
ko,63,0,0,,,,,,
lt,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
mk,8,5,5,1.0,1.0,0.0,1.0,1.0,0.0
mr,1,0,0,,,,,,
ne,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
nl,3,1,1,1.0,1.0,0.0,1.0,1.0,0.0
no,3,0,0,,,,,,
pl,11,9,9,1.0,1.0,0.0,1.0,1.0,0.0
pt,19,8,8,1.0,1.0,0.0,1.0,1.0,0.0
ro,6,5,5,1.0,1.0,0.0,1.0,1.0,0.0
ru,33,27,27,0.963,1.0,0.037,0.963,1.0,0.037
sl,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
so,6,2,2,1.0,1.0,0.0,1.0,1.0,0.0
sq,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0
sv,2,0,0,,,,,,
sw,29,19,19,1.0,0.8947,-0.1053,1.0,0.8947,-0.1053
ta,1,0,0,,,,,,
te,1,0,0,,,,,,
tl,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
tr,22,12,12,1.0,1.0,0.0,1.0,1.0,0.0
uk,30,15,15,1.0,1.0,0.0,1.0,1.0,0.0
unknown,1,0,0,,,,,,
ur,16,0,0,,,,,,
vi,7,0,0,,,,,,
zh-cn,112,20,20,0.75,0.95,0.2,0.75,0.95,0.2
zh-tw,3,0,0,,,,,,
