lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1
af,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
ar,9,2,2,1.0,1.0,0.0,1.0,1.0,0.0
bg,9,5,5,1.0,1.0,0.0,1.0,1.0,0.0
bn,2,0,0,,,,,,
ca,5,1,1,1.0,1.0,0.0,1.0,1.0,0.0
cy,2,0,0,,,,,,
da,5,1,1,0.0,1.0,1.0,0.0,1.0,1.0
de,19,13,13,1.0,1.0,0.0,1.0,1.0,0.0
el,5,3,3,1.0,1.0,0.0,1.0,1.0,0.0
en,574,63,63,0.9365,0.9365,0.0,0.9365,0.9365,0.0
es,67,21,21,1.0,1.0,0.0,1.0,1.0,0.0
et,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
fa,19,0,0,,,,,,
fi,2,0,0,,,,,,
fr,50,4,4,1.0,1.0,0.0,1.0,1.0,0.0
hi,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0
hr,14,8,8,1.0,1.0,0.0,1.0,1.0,0.0
hu,1,0,0,,,,,,
id,9,5,5,1.0,1.0,0.0,1.0,1.0,0.0
it,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
ja,3,1,1,0.0,1.0,1.0,0.0,1.0,1.0
ko,62,1,1,0.0,1.0,1.0,0.0,1.0,1.0
lt,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
mk,8,5,5,1.0,1.0,0.0,1.0,1.0,0.0
mr,1,0,0,,,,,,
ne,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0
nl,4,1,1,1.0,1.0,0.0,1.0,1.0,0.0
no,3,0,0,,,,,,
pl,11,8,8,1.0,1.0,0.0,1.0,1.0,0.0
pt,19,7,7,1.0,1.0,0.0,1.0,1.0,0.0
ro,6,4,4,1.0,1.0,0.0,1.0,1.0,0.0
ru,33,21,21,1.0,1.0,0.0,1.0,1.0,0.0
sl,3,2,2,1.0,1.0,0.0,1.0,1.0,0.0
so,6,0,0,,,,,,
sq,6,5,5,1.0,1.0,0.0,1.0,1.0,0.0
sv,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
sw,28,16,16,1.0,1.0,0.0,1.0,1.0,0.0
ta,1,0,0,,,,,,
te,1,0,0,,,,,,
tl,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0
tr,22,10,10,1.0,1.0,0.0,1.0,1.0,0.0
uk,30,18,18,1.0,1.0,0.0,1.0,1.0,0.0
unknown,1,0,0,,,,,,
ur,16,2,2,0.5,0.5,0.0,0.5,0.5,0.0
vi,7,0,0,,,,,,
zh-cn,111,18,18,0.7778,1.0,0.2222,0.7778,1.0,0.2222
zh-tw,3,0,0,,,,,,
