lang,sample_count,evaluable_count_v1,evaluable_count_v2,exact_accuracy_v1,exact_accuracy_v2,exact_delta_v2_minus_v1,relaxed_accuracy_v1,relaxed_accuracy_v2,relaxed_delta_v2_minus_v1
af,3,0,0,,,,,,
ar,10,0,0,,,,,,
bg,9,0,0,,,,,,
bn,2,0,0,,,,,,
ca,5,0,0,,,,,,
cy,2,0,0,,,,,,
da,5,0,0,,,,,,
de,19,0,0,,,,,,
el,5,0,0,,,,,,
en,574,1,1,1.0,1.0,0.0,1.0,1.0,0.0
es,68,0,0,,,,,,
et,2,0,0,,,,,,
fa,19,0,0,,,,,,
fi,2,0,0,,,,,,
fr,49,0,0,,,,,,
hi,5,0,0,,,,,,
hr,14,0,0,,,,,,
hu,1,0,0,,,,,,
id,10,0,0,,,,,,
it,4,0,0,,,,,,
ja,3,0,0,,,,,,
ko,63,0,0,,,,,,
lt,1,0,0,,,,,,
mk,8,0,0,,,,,,
mr,1,0,0,,,,,,
ne,1,0,0,,,,,,
nl,3,0,0,,,,,,
no,3,0,0,,,,,,
pl,11,0,0,,,,,,
pt,19,0,0,,,,,,
ro,6,0,0,,,,,,
ru,32,0,0,,,,,,
sl,4,0,0,,,,,,
so,6,0,0,,,,,,
sq,6,0,0,,,,,,
sv,2,0,0,,,,,,
sw,28,0,0,,,,,,
ta,1,0,0,,,,,,
te,1,0,0,,,,,,
tl,2,0,0,,,,,,
tr,22,0,0,,,,,,
uk,30,0,0,,,,,,
unknown,1,0,0,,,,,,
ur,16,0,0,,,,,,
vi,7,0,0,,,,,,
zh-cn,112,11,11,0.8182,1.0,0.1818,0.8182,1.0,0.1818
zh-tw,3,0,0,,,,,,
